Step,Layer,Head,Sparsity
1,22,27,0.2958
1,22,28,0.0539
1,22,29,0.0677
1,22,30,0.0096
1,22,31,0.0446
1,22,32,0.1161
1,22,33,0.3194
1,22,34,0.0728
1,22,35,0.6302
1,22,36,0.1045
1,22,37,0.0307
1,22,38,0.095
1,22,39,0.2529
1,23,0,0.5159
1,23,1,0.3478
1,23,2,0.0951
1,23,3,0.1025
1,23,4,0.121
1,23,5,0.1825
1,23,6,0.2388
1,23,7,0.1811
1,23,8,0.5037
1,23,9,0.4748
1,23,10,0.0517
1,23,11,0.2707
1,23,12,0.083
1,23,13,0.0559
1,23,14,0.116
1,23,15,0.313
1,23,16,0.4829
1,23,17,0.2284
1,23,18,0.1823
1,23,19,0.0547
1,23,20,0.1983
1,23,21,0.1671
1,23,22,0.074
1,23,23,0.1568
1,23,24,0.2317
1,23,25,0.0714
1,23,26,0.0779
1,23,27,0.0287
1,23,28,0.2441
1,23,29,0.1658
1,23,30,0.0644
1,23,31,0.4525
1,23,32,0.1654
1,23,33,0.1533
1,23,34,0.1027
1,23,35,0.0491
1,23,36,0.1493
1,23,37,0.1718
1,23,38,0.0812
1,23,39,0.0752
1,24,0,0.1701
1,24,1,0.2307
1,24,2,0.1604
1,24,3,0.3688
1,24,4,0.2102
1,24,5,0.2921
1,24,6,0.1457
1,24,7,0.0866
1,24,8,0.2096
1,24,9,0.1572
1,24,10,0.5032
1,24,11,0.3803
1,24,12,0.3383
1,24,13,0.145
1,24,14,0.1926
1,24,15,0.2323
1,24,16,0.1305
1,24,17,0.0331
1,24,18,0.0807
1,24,19,0.3779
1,24,20,0.007
1,24,21,0.1367
1,24,22,0.0795
1,24,23,0.1225
1,24,24,0.0806
1,24,25,0.4005
1,24,26,0.0621
1,24,27,0.1265
1,24,28,0.0492
1,24,29,0.5148
1,24,30,0.1316
1,24,31,0.1491
1,24,32,0.1293
1,24,33,0.2266
1,24,34,0.748
1,24,35,0.0727
1,24,36,0.3917
1,24,37,0.1339
1,24,38,0.2415
1,24,39,0.2338
1,25,0,0.4397
1,25,1,0.0594
1,25,2,0.0908
1,25,3,0.3246
1,25,4,0.0885
1,25,5,0.4132
1,25,6,0.2924
1,25,7,0.5043
1,25,8,0.4688
1,25,9,0.1051
1,25,10,0.0395
1,25,11,0.0643
1,25,12,0.1394
1,25,13,0.0842
1,25,14,0.4223
1,25,15,0.6122
1,25,16,0.2766
1,25,17,0.4418
1,25,18,0.4843
1,25,19,0.3922
1,25,20,0.0118
1,25,21,0.1461
1,25,22,0.3571
1,25,23,0.1123
1,25,24,0.1256
1,25,25,0.0629
1,25,26,0.062
1,25,27,0.1012
1,25,28,0.0284
1,25,29,0.0991
1,25,30,0.0522
1,25,31,0.1882
1,25,32,0.0811
1,25,33,0.224
1,25,34,0.0747
1,25,35,0.0834
1,25,36,0.0754
1,25,37,0.5578
1,25,38,0.2055
1,25,39,0.3715
1,26,0,0.1528
1,26,1,0.3852
1,26,2,0.0876
1,26,3,0.1058
1,26,4,0.2159
1,26,5,0.624
1,26,6,0.1193
1,26,7,0.152
1,26,8,0.114
1,26,9,0.1093
1,26,10,0.1501
1,26,11,0.196
1,26,12,0.4143
1,26,13,0.0443
1,26,14,0.1443
1,26,15,0.0071
1,26,16,0.2527
1,26,17,0.416
1,26,18,0.2063
1,26,19,0.5224
1,26,20,0.0488
1,26,21,0.2365
1,26,22,0.43
1,26,23,0.4143
1,26,24,0.3925
1,26,25,0.1606
1,26,26,0.5541
1,26,27,0.0102
1,26,28,0.0341
1,26,29,0.1384
1,26,30,0.5248
1,26,31,0.0328
1,26,32,0.1189
1,26,33,0.1659
1,26,34,0.1442
1,26,35,0.2699
1,26,36,0.3254
1,26,37,0.0757
1,26,38,0.2045
1,26,39,0.6046
1,27,0,0.3816
1,27,1,0.5263
1,27,2,0.2556
1,27,3,0.1405
1,27,4,0.1422
1,27,5,0.1856
1,27,6,0.2156
1,27,7,0.527
1,27,8,0.3538
1,27,9,0.095
1,27,10,0.2923
1,27,11,0.3018
1,27,12,0.3582
1,27,13,0.0268
1,27,14,0.1647
1,27,15,0.708
1,27,16,0.0593
1,27,17,0.1232
1,27,18,0.1368
1,27,19,0.3774
1,27,20,0.6697
1,27,21,0.0283
1,27,22,0.5494
1,27,23,0.334
1,27,24,0.1496
1,27,25,0.3727
1,27,26,0.1809
1,27,27,0.1178
1,27,28,0.118
1,27,29,0.5405
1,27,30,0.2873
1,27,31,0.332
1,27,32,0.4504
1,27,33,0.0066
1,27,34,0.1669
1,27,35,0.4866
1,27,36,0.5993
1,27,37,0.1994
1,27,38,0.1427
1,27,39,0.0641
1,28,0,0.2992
1,28,1,0.8308
1,28,2,0.077
1,28,3,0.2156
1,28,4,0.1241
1,28,5,0.0402
1,28,6,0.4457
1,28,7,0.3071
1,28,8,0.4374
1,28,9,0.523
1,28,10,0.0768
1,28,11,0.0247
1,28,12,0.1147
1,28,13,0.6356
1,28,14,0.1769
1,28,15,0.4964
1,28,16,0.055
1,28,17,0.0042
1,28,18,0.0899
1,28,19,0.6139
1,28,20,0.0994
1,28,21,0.5547
1,28,22,0.2486
1,28,23,0.6225
1,28,24,0.392
1,28,25,0.6243
1,28,26,0.215
