Step,Layer,Head,Sparsity
2,29,9,0.0
2,29,10,0.825
2,29,11,0.0056
3,0,0,0.7365
3,0,1,0.0312
3,0,2,0.8907
3,0,3,0.9112
3,0,4,0.0034
3,0,5,0.009
3,0,6,0.0815
3,0,7,0.1241
3,0,8,0.9129
3,0,9,0.8545
3,0,10,0.3697
3,0,11,0.0021
3,1,0,0.0313
3,1,1,0.138
3,1,2,0.0086
3,1,3,0.0233
3,1,4,0.0215
3,1,5,0.4696
3,1,6,0.6684
3,1,7,0.4303
3,1,8,0.129
3,1,9,0.0048
3,1,10,0.7725
3,1,11,0.3907
3,2,0,0.3329
3,2,1,0.683
3,2,2,0.016
3,2,3,0.0045
3,2,4,0.0192
3,2,5,0.544
3,2,6,0.7316
3,2,7,0.0079
3,2,8,0.0165
3,2,9,0.456
3,2,10,0.2939
3,2,11,0.006
3,3,0,0.0041
3,3,1,0.7484
3,3,2,0.4912
3,3,3,0.6518
3,3,4,0.2482
3,3,5,0.2947
3,3,6,0.386
3,3,7,0.0084
3,3,8,0.0542
3,3,9,0.1716
3,3,10,0.6409
3,3,11,0.4128
3,4,0,0.0376
3,4,1,0.1631
3,4,2,0.4281
3,4,3,0.0053
3,4,4,0.6376
3,4,5,0.0054
3,4,6,0.7803
3,4,7,0.4331
3,4,8,0.6428
3,4,9,0.6774
3,4,10,0.2147
3,4,11,0.3172
3,5,0,0.0358
3,5,1,0.0124
3,5,2,0.2019
3,5,3,0.7635
3,5,4,0.4011
3,5,5,0.5663
3,5,6,0.0591
3,5,7,0.005
3,5,8,0.6675
3,5,9,0.0137
3,5,10,0.0613
3,5,11,0.1475
3,6,0,0.4327
3,6,1,0.5661
3,6,2,0.0193
3,6,3,0.1721
3,6,4,0.1671
3,6,5,0.3477
3,6,6,0.6783
3,6,7,0.4314
3,6,8,0.3388
3,6,9,0.4768
3,6,10,0.2853
3,6,11,0.0052
3,7,0,0.2285
3,7,1,0.2048
3,7,2,0.2174
3,7,3,0.0121
3,7,4,0.4596
3,7,5,0.2122
