Step,Layer,Head,Sparsity
1,28,5,0.0179
1,28,6,0.2212
1,28,7,0.197
1,28,8,0.2174
1,28,9,0.0163
1,28,10,0.1341
1,28,11,0.2913
1,28,12,0.24
1,28,13,0.2529
1,28,14,0.3263
1,28,15,0.0455
1,28,16,0.2161
1,28,17,0.292
1,28,18,0.1164
1,28,19,0.3431
1,28,20,0.2273
1,28,21,0.1682
1,28,22,0.0319
1,28,23,0.0687
1,29,0,0.0757
1,29,1,0.3217
1,29,2,0.2321
1,29,3,0.0633
1,29,4,0.2035
1,29,5,0.303
1,29,6,0.3279
1,29,7,0.2611
1,29,8,0.2733
1,29,9,0.1997
1,29,10,0.2327
1,29,11,0.1094
1,29,12,0.0703
1,29,13,0.171
1,29,14,0.0614
1,29,15,0.2212
1,29,16,0.1014
1,29,17,0.1039
1,29,18,0.117
1,29,19,0.1198
1,29,20,0.2935
1,29,21,0.1663
1,29,22,0.1794
1,29,23,0.363
1,30,0,0.2035
1,30,1,0.0881
1,30,2,0.0011
1,30,3,0.1532
1,30,4,0.0028
1,30,5,0.118
1,30,6,0.4078
1,30,7,0.0003
1,30,8,0.1629
1,30,9,0.3739
1,30,10,0.5446
1,30,11,0.4445
1,30,12,0.0002
1,30,13,0.4319
1,30,14,0.3793
1,30,15,0.3264
1,30,16,0.5693
1,30,17,0.0795
1,30,18,0.2343
1,30,19,0.0033
1,30,20,0.5916
1,30,21,0.3526
1,30,22,0.2371
1,30,23,0.2394
1,31,0,0.1284
1,31,1,0.0016
1,31,2,0.1235
1,31,3,0.276
1,31,4,0.1064
1,31,5,0.1054
1,31,6,0.1869
1,31,7,0.0251
1,31,8,0.0434
1,31,9,0.1166
1,31,10,0.0033
1,31,11,0.1428
1,31,12,0.0986
1,31,13,0.0381
1,31,14,0.2634
1,31,15,0.0008
1,31,16,0.0238
1,31,17,0.1329
1,31,18,0.0858
1,31,19,0.3171
1,31,20,0.0326
1,31,21,0.1131
1,31,22,0.0246
1,31,23,0.0086
1,32,0,0.1568
1,32,1,0.3094
1,32,2,0.427
1,32,3,0.1272
1,32,4,0.0091
1,32,5,0.1638
1,32,6,0.147
1,32,7,0.2025
1,32,8,0.1252
1,32,9,0.1025
1,32,10,0.1573
1,32,11,0.1002
1,32,12,0.302
1,32,13,0.3615
1,32,14,0.1374
1,32,15,0.0017
1,32,16,0.2954
1,32,17,0.083
1,32,18,0.3552
1,32,19,0.4374
1,32,20,0.2307
1,32,21,0.014
1,32,22,0.0415
1,32,23,0.3169
1,33,0,0.0594
1,33,1,0.0073
1,33,2,0.013
1,33,3,0.0051
1,33,4,0.0248
1,33,5,0.0898
1,33,6,0.049
1,33,7,0.0547
1,33,8,0.003
1,33,9,0.0597
1,33,10,0.027
1,33,11,0.0075
1,33,12,0.0071
1,33,13,0.0794
1,33,14,0.1034
1,33,15,0.0028
1,33,16,0.1097
1,33,17,0.0038
1,33,18,0.1138
1,33,19,0.1578
1,33,20,0.0349
1,33,21,0.0268
1,33,22,0.0892
1,33,23,0.0861
1,34,0,0.0054
1,34,1,0.0132
1,34,2,0.0131
1,34,3,0.0041
1,34,4,0.0802
1,34,5,0.0841
1,34,6,0.0691
1,34,7,0.0049
1,34,8,0.0048
1,34,9,0.091
1,34,10,0.0271
1,34,11,0.0032
1,34,12,0.0515
1,34,13,0.0553
1,34,14,0.144
1,34,15,0.0228
1,34,16,0.0056
1,34,17,0.0063
1,34,18,0.078
1,34,19,0.0138
1,34,20,0.0475
1,34,21,0.0102
1,34,22,0.1797
1,34,23,0.0046
1,35,0,0.1651
1,35,1,0.0422
1,35,2,0.0163
1,35,3,0.0043
1,35,4,0.0672
1,35,5,0.0077
1,35,6,0.0697
1,35,7,0.0532
1,35,8,0.0119
1,35,9,0.0322
1,35,10,0.0003
1,35,11,0.0048
1,35,12,0.0157
1,35,13,0.1482
1,35,14,0.2345
1,35,15,0.0035
1,35,16,0.1108
1,35,17,0.0017
1,35,18,0.318
1,35,19,0.1368
1,35,20,0.0089
1,35,21,0.0316
1,35,22,0.0056
1,35,23,0.0128
1,36,0,0.0061
1,36,1,0.054
1,36,2,0.2205
1,36,3,0.1143
1,36,4,0.4595
1,36,5,0.08
1,36,6,0.0806
1,36,7,0.0668
1,36,8,0.3167
1,36,9,0.016
1,36,10,0.1231
1,36,11,0.174
1,36,12,0.1807
1,36,13,0.1978
1,36,14,0.0016
1,36,15,0.0973
1,36,16,0.2816
1,36,17,0.0136
1,36,18,0.006
1,36,19,0.2544
1,36,20,0.2108
1,36,21,0.3591
1,36,22,0.1387
1,36,23,0.1588
1,37,0,0.0048
1,37,1,0.0088
1,37,2,0.003
1,37,3,0.0074
1,37,4,0.0049
1,37,5,0.0196
1,37,6,0.1936
1,37,7,0.0242
1,37,8,0.0757
1,37,9,0.0021
1,37,10,0.1247
1,37,11,0.0316
1,37,12,0.0037
1,37,13,0.0044
1,37,14,0.0232
1,37,15,0.0416
1,37,16,0.0024
1,37,17,0.0807
1,37,18,0.0035
1,37,19,0.0565
1,37,20,0.0069
1,37,21,0.0051
1,37,22,0.0021
1,37,23,0.0222
1,38,0,0.1719
1,38,1,0.2728
1,38,2,0.008
1,38,3,0.3536
1,38,4,0.0001
1,38,5,0.0873
1,38,6,0.0307
1,38,7,0.0006
1,38,8,0.0277
1,38,9,0.0359
1,38,10,0.2271
1,38,11,0.0805
1,38,12,0.0008
1,38,13,0.2225
1,38,14,0.0789
1,38,15,0.0016
1,38,16,0.0569
1,38,17,0.2939
1,38,18,0.0002
1,38,19,0.0016
1,38,20,0.0572
1,38,21,0.0676
1,38,22,0.1292
1,38,23,0.0125
1,39,0,0.2415
1,39,1,0.2354
1,39,2,0.2333
1,39,3,0.2954
1,39,4,0.1821
1,39,5,0.184
1,39,6,0.3166
1,39,7,0.1868
1,39,8,0.0766
1,39,9,0.2209
1,39,10,0.3377
1,39,11,0.1578
1,39,12,0.0117
1,39,13,0.1759
1,39,14,0.2167
1,39,15,0.1246
1,39,16,0.1446
1,39,17,0.1372
1,39,18,0.0381
1,39,19,0.2878
1,39,20,0.2618
1,39,21,0.1922
1,39,22,0.1771
1,39,23,0.0684
1,40,0,0.0839
1,40,1,0.186
1,40,2,0.0831
1,40,3,0.0315
1,40,4,0.0022
1,40,5,0.0172
1,40,6,0.0224
1,40,7,0.2066
1,40,8,0.2282
1,40,9,0.2619
1,40,10,0.0333
1,40,11,0.3067
1,40,12,0.2114
1,40,13,0.002
1,40,14,0.0085
1,40,15,0.2603
1,40,16,0.0055
1,40,17,0.0829
1,40,18,0.0012
1,40,19,0.0136
1,40,20,0.0741
1,40,21,0.1976
1,40,22,0.0702
1,40,23,0.2538
1,41,0,0.329
1,41,1,0.3122
1,41,2,0.0071
1,41,3,0.1231
1,41,4,0.2894
1,41,5,0.3097
1,41,6,0.0194
1,41,7,0.0437
1,41,8,0.266
1,41,9,0.2592
1,41,10,0.2772
1,41,11,0.0283
1,41,12,0.0885
1,41,13,0.1803
1,41,14,0.017
1,41,15,0.0557
1,41,16,0.1441
1,41,17,0.0375
1,41,18,0.2984
1,41,19,0.3099
1,41,20,0.2133
1,41,21,0.247
1,41,22,0.1355
1,41,23,0.2432
1,42,0,0.281
1,42,1,0.4317
1,42,2,0.1417
1,42,3,0.1485
1,42,4,0.3121
1,42,5,0.2623
1,42,6,0.0067
1,42,7,0.1171
1,42,8,0.0215
1,42,9,0.4136
1,42,10,0.274
1,42,11,0.0633
1,42,12,0.4094
1,42,13,0.3215
1,42,14,0.3603
1,42,15,0.3768
1,42,16,0.2227
1,42,17,0.1526
1,42,18,0.3342
1,42,19,0.2457
1,42,20,0.4006
1,42,21,0.0112
1,42,22,0.265
1,42,23,0.1393
1,43,0,0.0105
1,43,1,0.0729
1,43,2,0.2722
1,43,3,0.0708
1,43,4,0.0719
1,43,5,0.0003
1,43,6,0.0171
1,43,7,0.0009
1,43,8,0.0367
1,43,9,0.0305
1,43,10,0.0689
1,43,11,0.0136
1,43,12,0.0903
1,43,13,0.0745
1,43,14,0.1191
1,43,15,0.1741
1,43,16,0.1167
1,43,17,0.0922
1,43,18,0.0029
1,43,19,0.2284
1,43,20,0.0115
1,43,21,0.0894
1,43,22,0.0979
1,43,23,0.0433
1,44,0,0.066
1,44,1,0.3743
1,44,2,0.1259
1,44,3,0.2008
1,44,4,0.1976
1,44,5,0.2019
1,44,6,0.4034
1,44,7,0.2984
1,44,8,0.2918
1,44,9,0.008
1,44,10,0.2734
1,44,11,0.4059
1,44,12,0.3313
1,44,13,0.3896
1,44,14,0.1704
